name,calories,fats,proteins,carbohydrates
"Succotash, (corn and limas), frozen, cooked, boiled, drained, with salt",93,1,4,20
"Corn, yellow, canned, low sodium, NS as to fat added in cooking",113,4,3,20
"Cheeseburger, 1/4 lb meat, with tomato and/or catsup, on bun",269,14,15,20
"Succotash, (corn and limas), raw",99,1,5,20
Yeast extract spread,185,1,24,20
"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt",93,1,4,20
"Succotash, (corn and limas), frozen, unprepared",93,1,4,20
"Corn, yellow, canned, low sodium, fat added in cooking, NS as to type of fat",113,4,3,20
"Corn, cooked, from fresh, NS as to color, fat added in cooking, NS as to type of fat",111,3,3,20
Oyster pie,244,16,5,20
"Corn, yellow, canned, low sodium, fat not added in cooking",90,1,3,20
"Corn, cooked, from fresh, NS as to color, NS as to fat added in cooking",111,3,3,20
"Corn, cooked, from fresh, NS as to color, made with oil",117,4,3,20
"Stuffed tannier fritters, Puerto Rican style (Alcapurrias)",383,29,12,20
"Corn, cooked, from fresh, NS as to color, made with butter",113,4,3,20
"Corn, cooked, from fresh, NS as to color, made with margarine",108,3,3,20
Sugar cane beverage,74,0,0,20
"Mountain yam, hawaii, cooked, steamed, with salt",82,0,2,20
"Milk shake, bottled, chocolate",150,7,4,20
"Arrowhead, raw",99,0,5,20
"Mountain yam, hawaii, cooked, steamed, without salt",82,0,2,20
"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, with salt",80,0,3,20
"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",80,0,3,20
"Milk shake, bottled, flavors other than chocolate",148,7,3,20
"Milk shake, fast food, chocolate",150,7,4,20
"Wrap sandwich, filled with vegetables and rice",136,5,3,20
"Puddings, vanilla, dry mix, instant, prepared with whole milk",114,3,3,20
"Sunflower seeds, hulled, unroasted, without salt",584,51,21,20
"Cornmeal mush, made with water",94,0,2,20
"White potato, roasted, fat added in cooking",149,7,2,20
"Puddings, tapioca, dry mix, prepared with 2% milk",105,2,3,20
"White potato, roasted, NS as to fat added in cooking",149,7,2,20
"Midnight sandwich, (Media noche), with spread",235,9,17,20
"Dumpling, plain",124,3,3,20
"Ravioli, cheese-filled, no sauce",177,7,8,20
"Turnover, chicken, with gravy",280,18,10,20
"Chickpeas, canned, low sodium, fat added in cooking",225,14,7,20
"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",104,1,4,20
"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener",104,1,4,20
"Yogurt, frozen, flavors other than chocolate, nonfat milk",104,1,4,20
"Chickpeas, canned, low sodium, NS as to fat added in cooking",225,14,7,20
"Burrito, taco, or quesadilla with egg and potato",222,11,9,20
"Burrito, taco, or quesadilla with egg",228,12,10,20
"Frankfurter or hot dog sandwich, beef and pork, plain, on wheat bread",288,18,11,20
"Broadbeans (fava beans), mature seeds, cooked, boiled, without salt",110,0,8,20
"Apple yogurt dessert, baby food, strained",96,2,1,20
"Horchata beverage, made with water",87,0,1,20
"Seeds, sunflower seed kernels, dried",584,51,21,20
"Horchata beverage, made with milk",90,1,1,20
"Frankfurter or hot dog sandwich, meat and poultry, plain, on multigrain bread",277,17,12,20
Hopping John (blackeye peas and rice),126,2,7,20
Hummus,177,16,5,20
"Ice cream, rich, chocolate",251,17,5,20
"Broadbeans (fava beans), mature seeds, cooked, boiled, with salt",110,0,8,20
"Babyfood, GERBER, Banana with orange medley",69,0,1,20
"Hummus, home prepared",177,9,5,20
"Cold cut submarine sandwich, with cheese, lettuce, tomato, and spread",213,10,11,20
Pig in a blanket (frankfurter or hot dog wrapped in dough),321,22,12,20
"Burdock, cooked, NS as to fat added in cooking",115,4,2,20
Roast beef sandwich with bacon and cheese sauce,346,21,19,20
"Burdock, cooked, fat added in cooking",115,4,2,20
SILK Hazelnut Creamer,133,7,0,20
SILK French Vanilla Creamer,133,7,0,20
"Rice, white, with vegetables, soy-based sauce, fat not added in cooking",94,0,2,20
"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener",107,1,4,20
"Yogurt, frozen, chocolate, nonfat milk",107,1,4,20
"Peach, spiced",75,0,0,20
"Rice, white, with vegetables, soy-based sauce, fat added in cooking",106,2,2,20
"Rice, white, with vegetables, soy-based sauce, NS as to fat added in cooking",106,2,2,20
"Bacon, chicken, and tomato club sandwich, with cheese, lettuce and spread",220,8,17,20
"Salisbury steak with gravy, macaroni and cheese (frozen meal)",202,8,10,20
"Bacon, chicken, and tomato club sandwich, with lettuce and spread",220,8,17,20
Sausage and spaghetti sauce sandwich,254,14,12,20
"Burrito with chicken, beans, and rice",222,10,13,20
"Salad dressing, fat free, NFS",107,3,1,20
Flavored rice mixture,127,4,2,20
"Blintz, cheese-filled",186,8,9,20
"SUBWAY, SUBWAY CLUB sub on white bread with lettuce and tomato",146,2,11,20
"SUBWAY, roast beef sub on white bread with lettuce and tomato",155,3,12,20
"SUBWAY, cold cut sub on white bread with lettuce and tomato",214,10,11,20
"Frankfurter or hot dog sandwich, meat and poultry, plain, on wheat bread",279,18,10,20
"Peas, cowpeas, field peas, or blackeye peas (not dried), cooked, from fresh, made with oil",117,3,3,20
"Turkey, ham, and roast beef club sandwich with cheese, lettuce, tomato, and spread",146,2,11,20
"Soft taco with chicken, beans, and sour cream",199,9,9,20
Soft taco with meat,221,11,11,20
"Soft taco with chicken, from fast food",189,6,13,20
"Fried chicken chunks, Puerto Rican style (Chicharrones de pollo)",343,18,23,20
"Peas, cowpeas, field peas, or blackeye peas (not dried), cooked, from fresh, fat added in cooking, NS as to type of fat",112,2,3,20
"Babyfood, dessert, fruit pudding, pineapple, strained",81,0,1,20
"Peas, cowpeas, field peas, or blackeye peas (not dried), cooked, from fresh, fat not added in cooking",96,0,3,20
"Peas, cowpeas, field peas, or blackeye peas (not dried), cooked, from fresh, made with margarine",109,2,3,20
"Peas, cowpeas, field peas, or blackeye peas (not dried), cooked, from fresh, made with butter",114,3,3,20
"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",74,0,0,20
"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",71,0,0,20
"Fruit juice bar, frozen, flavor other than orange",87,0,1,20
Turkey salad or turkey spread sandwich,228,10,14,20
"Sorbet, fruit, noncitrus flavor",87,0,1,20
"Soft taco with meat, from fast food",206,10,9,20
"Fruit, chocolate covered",129,7,1,20
"Teff, cooked",101,1,4,20
"Frozen novelties, fruit and juice bars",87,0,1,20
"Frozen novelties, juice type, POPSICLE SCRIBBLERS",81,0,0,20
"Soft taco with meat, beans, and sour cream",202,10,8,20
"Babyfood, dessert, dutch apple, strained",75,0,0,20
"Frankfurter or hot dog sandwich, meatless, plain, on bread",242,11,17,20
"Frankfurter or hot dog sandwich, meatless, on bun, with meatless chili",198,8,12,20
Ham salad sandwich,221,10,11,20
"Green or yellow split peas, dry, cooked, made with oil",167,7,8,20
Ground beef with tomato sauce and taco seasonings on a cornbread crust,194,8,10,20
"Hamburger, 1/4 lb meat, plain, on bun",287,14,18,20
"Frankfurter or hot dog sandwich, meat and poultry, plain, on whole grain white bread",267,16,10,20
"Frankfurter or hot dog sandwich, meat and poultry, plain, on white bread",279,18,10,20
"Shake, fast food, vanilla",148,7,3,20
"Frankfurter or hot dog sandwich, meat and poultry, plain, on whole wheat bread",272,16,11,20
"Herbalife, nutritional shake mix, high protein, powder",392,11,54,20
"Green or yellow split peas, dry, cooked, fat added in cooking, NS as to type of fat",167,7,8,20
"Peanuts, virginia, oil-roasted, without salt",578,49,26,20
"Green or yellow split peas, dry, cooked, NS as to fat added in cooking",167,7,8,20
"Grapes, seedless, cooked or canned, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener",76,0,0,20
"Grapes, seedless, cooked or canned, in heavy syrup",76,0,0,20
"Frankfurter or hot dog sandwich, with meatless chili, on white bun",227,12,9,20
"Green or yellow split peas, dry, cooked, made with animal fat or meat drippings",162,6,8,20
"Green or yellow split peas, dry, cooked, made with margarine",146,4,8,20
"Frankfurter or hot dog sandwich, with chili, on white bun",229,12,9,20
"Peanuts, virginia, oil-roasted, with salt",578,49,26,20
"Creamy dressing, fat free",107,3,1,20
"Rice, brown and wild, cooked, NS as to fat added in cooking",113,3,2,20
Rice with beans and pork,169,6,8,20
"Cowpeas, catjang, mature seeds, cooked, boiled, with salt",117,1,8,20
"Fast foods, submarine sandwich, cold cut on white bread with lettuce and tomato",213,10,11,20
"Rice, brown, with carrots and tomatoes (and/or tomato-based sauce), NS as to fat added in cooking",111,2,2,20
Rice with beans and chicken,158,5,9,20
Chicken salad or chicken spread sandwich,231,10,14,20
"Beverages, nutritional shake mix, high protein, powder",392,11,54,20
Rice croquette,154,7,3,20
"Fast foods, grilled chicken, bacon and tomato club sandwich, with cheese, lettuce, and mayonnaise",220,8,17,20
Rice with beans and beef,173,7,8,20
"Rice, brown, with carrots and tomatoes (and/or tomato-based sauce), fat added in cooking",111,2,2,20
Taco or tostada with chicken,255,13,14,20
"Cowpeas, catjang, mature seeds, cooked, boiled, without salt",117,1,8,20
"Rice, brown, with cheese and/or cream based sauce, fat not added in cooking",144,5,5,20
"Fast foods, taco with beef, cheese and lettuce, soft",206,10,9,20
"Fast foods, taco with beef, cheese and lettuce, hard shell",226,13,9,20
"Fast foods, submarine sandwich, turkey, roast beef and ham on white bread with lettuce and tomato",146,2,11,20
"Rice, brown, with carrots, dark green vegetables, and tomatoes (and/or tomato-based sauce), NS as to fat added in cooking",113,3,2,20
"Rice, brown, with carrots and tomatoes (and/or tomato-based sauce), fat not added in cooking",97,1,2,20
"Lo mein, meatless",121,2,5,20
"Bananas with orange, baby food, strained",86,0,1,20
"Rice, brown, with carrots, dark green vegetables, and tomatoes (and/or tomato-based sauce), fat added in cooking",113,3,2,20
"TACO BELL, Soft Taco with chicken, cheese and lettuce",189,6,13,20
"TACO BELL, Soft Taco with beef, cheese and lettuce",206,10,9,20
"Pineapple dessert, baby food, strained",81,0,1,20
Pasta with meat sauce,147,5,6,20
"Beans, lima and corn (succotash), cooked, fat not added in cooking",92,1,4,20
"TACO BELL, Original Taco with beef, cheese and lettuce",229,13,9,20
"Red kidney beans, canned, low sodium, NS as to fat added in cooking",202,11,7,20
"Lo mein, NFS",121,2,5,20
"Fast Foods, Fried Chicken, Skin and breading from all pieces",398,29,14,20
"Lima beans, immature seeds, frozen, fordhook, unprepared",106,0,6,20
"Lima beans, immature seeds, raw",113,1,7,20
"Fast foods, burrito, with beans and beef",191,7,12,20
"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",97,0,3,20
"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with salt",94,0,3,20
"Pasta, meat-filled, with gravy, canned",131,3,5,20
Pastrami sandwich,165,4,12,20
"Lentils, dry, cooked, fat not added in cooking",115,0,9,20
"Lentils, mature seeds, cooked, boiled, with salt",114,0,9,20
"Red kidney beans, canned, low sodium, fat added in cooking",202,11,7,20
Pina Colada,151,2,0,20
"Fast foods, cheeseburger; single, large patty; with condiments",269,14,15,20
"Lentils, mature seeds, cooked, boiled, without salt",116,0,9,20
"Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)",151,5,7,20
"Rice, white, with cheese and/or cream based sauce, NS as to fat added in cooking",166,7,5,20
"Almonds, NFS",593,53,21,20
"Spanish rice, fat not added in cooking",101,1,3,20
"Spanish rice, NS as to fat added in cooking",114,3,3,20
"Spanish rice, fat added in cooking",114,3,3,20
Vegetable tempura,228,15,4,20
"Rice, cream of, cooked, made with milk",116,2,4,20
"Rice, brown, with vegetables, soy-based sauce, fat not added in cooking",94,1,2,20
"Taco or tostada with meat, beans, and sour cream",220,13,8,20
Vegetables and cheese in pastry,315,24,8,20
"Taco or tostada with meat, from fast food",226,13,9,20
"Buckwheat groats, roasted, cooked",92,1,3,20
"Buckwheat groats, cooked, fat not added in cooking",92,1,3,20
"Rice, white, with tomatoes (and/or tomato based sauce), fat not added in cooking",91,0,2,20
"Fast foods, submarine sandwich, roast beef on white bread with lettuce and tomato",156,3,12,20
"Peach, dried, cooked, unsweetened",77,0,1,20
"Rice, white, with gravy, fat not added in cooking",102,1,2,20
"Rice, white, with cheese and/or cream based sauce, fat not added in cooking",152,5,5,20
"Rice, white, with cheese and/or cream based sauce, fat added in cooking",166,7,5,20
Biscuit with gravy,214,12,5,20
"Rice, white, with gravy, fat added in cooking",117,3,2,20
"Rice, white, with gravy, NS as to fat added in cooking",117,3,2,20
"Taco or tostada with chicken, beans, and sour cream",220,12,8,20
"Taco or tostada with meat and beans, from fast food",219,12,9,20
"Rice, brown, with dark green vegetables and tomatoes (and/or tomato-based sauce), fat not added in cooking",97,1,2,20
Taco or tostada with fish,229,12,10,20
"Buckwheat groats, cooked, NS as to fat added in cooking",92,1,3,20
"Fava beans, cooked, fat not added in cooking",109,0,8,20
"Rice, brown, with dark green vegetables and tomatoes (and/or tomato-based sauce), fat added in cooking",111,2,2,20
"Peach, cooked or canned, in heavy syrup",74,0,0,20
"Rice, brown, with gravy, fat not added in cooking",101,1,2,20
"Fast foods, taco with chicken, lettuce and cheese, soft",189,6,13,20
"Rice, brown, with dark green vegetables and tomatoes (and/or tomato-based sauce) , NS as to fat added in cooking",111,2,2,20
"Peanut butter, smooth, vitamin and mineral fortified",591,51,26,19
"Nuts, almonds, blanched",590,53,21,19
"Oatmeal, cooked, from fast food",97,2,2,19
"Nuts, almonds, dry roasted, with salt added",609,55,21,19
"Pigeon peas, cooked, from canned, fat not added in cooking",110,1,6,19
"Croissant sandwich with ham, egg, and cheese",261,15,12,19
"Persimmon, raw",70,0,1,19
"Beans, lima, immature, cooked, from frozen, made with margarine",114,2,6,19
"Pigeon peas, cooked, from canned, fat added in cooking",126,3,6,19
"Beans, lima, immature, cooked, from frozen, made with oil",123,3,6,19
"Pigeon peas, cooked, from fresh, fat not added in cooking",110,1,6,19
"Pepperoni and salami submarine sandwich, with lettuce, tomato, and spread",225,13,7,19
"Pigeonpeas, immature seeds, cooked, boiled, drained, with salt",111,1,6,19
"Pear, cooked or canned, drained solids",74,0,0,19
"Pasta, whole wheat, with meat sauce",142,5,6,19
"Pasta, whole wheat, with tomato sauce, meatless",114,3,4,19
"Taco or tostada salad, meatless",161,7,5,19
"POPEYES, Spicy Chicken Strips, analyzed 2006",253,11,20,19
"Pigeon peas, cooked, NS as to form, fat added in cooking",126,3,6,19
"Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",111,1,6,19
"Pigeon peas, cooked, NS as to form, NS as to fat added in cooking",126,3,6,19
"Pigeon peas, cooked, from fresh, fat added in cooking",126,3,6,19
"POPEYES, Mild Chicken Strips, analyzed 2006",271,13,19,19
"Pasta with tomato sauce, meatless",118,3,4,19
"Nuts, pine nuts, pinyon, dried",629,61,12,19
"Pigeon peas, cooked, from fresh, NS as to fat added in cooking",126,3,6,19
Taco or tostada with meat,246,14,10,19
"Pear, cooked or canned, in heavy syrup",74,0,0,19
"Pigeon peas, cooked, from canned, NS as to fat added in cooking",126,3,6,19
"Pigeon peas, cooked, NS as to form, fat not added in cooking",110,1,6,19
"Nuts, almond butter, plain, without salt added",614,56,21,19
"Flavored rice, brown and wild",106,2,3,19
Flavored rice and pasta mixture,119,4,3,19
"Frankfurter or hot dog sandwich, NFS, plain, on multigrain bread",303,19,12,19
"Salsify, (vegetable oyster), raw",82,0,3,19
"Flan, caramel custard, dry mix, prepared with 2% milk",103,2,3,19
"Roast beef submarine sandwich, with lettuce, tomato and spread",181,6,12,19
SILK Peach soy yogurt,94,1,2,19
"Flan, caramel custard, dry mix, prepared with whole milk",113,3,3,19
"Frankfurter or hot dog sandwich, NFS, plain, on whole wheat bread",298,19,12,19
"Frankfurter or hot dog sandwich, NFS, plain, on whole grain white bread",292,19,11,19
"Frankfurter or hot dog sandwich, beef, plain, on multigrain bread",303,19,12,19
"KFC, Fried Chicken, ORIGINAL RECIPE, Skin and Breading",384,28,14,19
"BURGER KING, WHOPPER, no cheese",233,13,11,19
"BURGER KING, Vanilla Shake",168,9,3,19
Sausage and french toast (frozen meal),223,11,12,19
"Frankfurter or hot dog sandwich, NFS, plain, on white bread",307,21,11,19
"Roast beef submarine sandwich, with cheese, lettuce, tomato and spread",190,7,12,19
"Rice, white, with tomatoes (and/or tomato based sauce), NS as to fat added in cooking",106,2,2,19
Spoonbread,163,7,7,19
"Spaghetti with tomato sauce, meatless, whole wheat noodles",114,3,4,19
"Rice, white, with tomatoes (and/or tomato based sauce), fat added in cooking",106,2,2,19
"Rice, brown, with vegetables, soy-based sauce, NS as to fat added in cooking",105,2,2,19
"Rice, brown, with tomatoes (and/or tomato based sauce), fat not added in cooking",92,1,2,19
Almond butter,614,56,21,19
"Rice, brown, with vegetables, soy-based sauce, fat added in cooking",105,2,2,19
"Rice, white, with vegetables, cheese and/or cream based sauce, NS as to fat added in cooking",146,6,5,19
"Rice, white, with vegetables and gravy, fat not added in cooking",95,1,2,19
"Rice, white, with vegetables, cheese and/or cream based sauce, fat not added in cooking",134,4,5,19
"Rice, white, with vegetables, cheese and/or cream based sauce, fat added in cooking",146,6,5,19
"Rice, white, with vegetables and gravy, NS as to fat added in cooking",106,2,2,19
"Spaghetti with tomato sauce, meatless",118,3,4,19
"Rice, white, with vegetables and gravy, fat added in cooking",106,2,2,19
Spaghetti with tomato sauce and vegetables,118,3,4,19
Ice pop,79,0,0,19
Soft taco with chicken and sour cream,218,11,12,19
Fuzzy Navel,132,0,0,19
Soft taco with meat and sour cream,221,12,10,19
"Soup, fruit",72,0,1,19
Beets with Harvard sauce,78,0,1,19
"Babyfood, dessert, dutch apple, junior",79,0,0,19
"Amaranth grain, cooked",102,2,4,19
"Babyfood, fruit dessert, mango with tapioca",70,0,0,19
"Fruit cocktail, cooked or canned, drained solids",70,0,0,19
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, junior",70,0,1,19
"Babyfood, fruit, papaya and applesauce with tapioca, strained",70,0,0,19
"Fruit cocktail, cooked or canned, in heavy syrup",73,0,0,19
"Soft taco with meat and sour cream, from fast food",200,10,9,19
"Babyfood, fruit, bananas with apples and pears, strained",83,0,1,19
"Somen salad with noodles, lettuce, egg, fish, and pork",189,7,13,19
"Frozen novelties, ice type, pop",79,0,0,19
"Frankfurter or hot dog sandwich, with meatless chili, on whole wheat bun",225,13,10,19
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",84,1,1,19
"Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on whole grain white bread",232,11,14,19
"Apple rings, fried",119,5,0,19
"Babyfood, cherry cobbler, junior",78,0,0,19
"Frankfurter or hot dog sandwich, beef, plain, on whole grain white bread",292,19,11,19
"Frankfurter or hot dog sandwich, beef, plain, on white bread",307,21,11,19
"Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on multigrain bread",242,12,15,19
"Frankfurter or hot dog sandwich, beef, plain, on whole wheat bread",298,19,12,19
"Frankfurter or hot dog sandwich, with chili, on whole wheat bun",226,12,9,19
"Frankfurter or hot dog sandwich, with chili, on whole grain white bun",223,12,9,19
"Frankfurter or hot dog sandwich, with meatless chili, on whole grain white bun",221,12,9,19
"Frankfurter or hot dog sandwich, with meatless chili, on wheat bun",225,12,10,19
Ham and cheese on English muffin,254,12,17,19
"Ham and tomato club sandwich, with lettuce and spread",237,13,11,19
"Frankfurter or hot dog sandwich, with chili, on wheat bun",226,12,9,19
"Grits, cooked, corn or hominy, instant, made with milk, fat not added in cooking",104,2,4,19
"Fireweed, leaves, raw",103,3,5,19
"Meat pie, NFS",204,12,5,19
Alexander,235,3,1,19
Pulled pork in barbecue sauce,168,4,13,19
"McDONALD'S, Sausage Biscuit with Egg",311,22,11,19
"Sushi (Nigiri), topped with crab",95,0,4,19
"Puddings, tapioca, dry mix, prepared with whole milk",115,3,3,19
"Puddings, vanilla, dry mix, regular, prepared with whole milk",113,3,3,19
"Puddings, vanilla, dry mix, regular, prepared with 2% milk",101,2,3,19
"Stewed blackeye peas or cowpeas, Puerto Rican style",111,1,7,19
"Stewed potatoes, Puerto Rican style (Papas guisadas)",114,4,2,19
"Beef sandwich, NFS",190,7,12,19
"Macaroni, creamed, with vegetables",137,5,4,19
"McDONALD'S, Double Cheeseburger",282,16,16,19
"Egg, cheese and ham on bagel",261,14,13,19
"Mango dessert, baby food",70,0,0,19
"Manicotti, cheese-filled, no sauce",212,10,11,19
"Puddings, coconut cream, dry mix, instant, prepared with whole milk",117,4,3,19
"Mung beans, fat not added in cooking",104,0,7,19
"Mung beans, mature seeds, cooked, boiled, with salt",105,0,7,19
"Dutch apple dessert, baby food, NS as to strained or junior",77,0,0,19
"Potatoes, hash brown, refrigerated, unprepared",84,0,2,19
"Pomegranate, raw",83,1,2,19
"Nuts, almond butter, plain, with salt added",614,56,21,19
"Mung beans, mature seeds, cooked, boiled, without salt",105,0,7,19
"Double bacon cheeseburger (2 patties), with tomato and/or catsup, on bun",321,19,18,19
"Puddings, chocolate, dry mix, instant, prepared with 2% milk",105,2,3,19
"Pudding, flavors other than chocolate, prepared from dry mix, milk added",102,2,3,19
"Puddings, coconut cream, dry mix, instant, prepared with 2% milk",107,2,3,19
"Puddings, chocolate, dry mix, instant, prepared with whole milk",111,3,3,19
Egg and bacon on biscuit,305,21,11,19
"Dutch apple dessert, baby food, junior",79,0,0,19
"Pudding, chocolate, prepared from dry mix, milk added",104,2,3,19
"Mixed cereal with applesauce and bananas, baby food, jarred",83,1,1,19
Macaroni or pasta salad with tuna and egg,197,10,7,19
"Reuben sandwich (corned beef sandwich with sauerkraut and cheese), with spread",285,17,13,19
"Lentils, dry, cooked, NS as to fat added in cooking",165,7,8,19
"Rice with onions, Puerto Rican style (arroz con cebollas)",173,10,3,19
Rice with beans and tomatoes,124,4,4,19
"Fast foods, croissant, with egg, cheese, and ham",261,15,12,19
"Lentils, dry, cooked, made with margarine",143,4,8,19
"Lentils, dry, cooked, fat added in cooking, NS as to type of fat",165,7,8,19
"Lentils, dry, cooked, made with animal fat or meat drippings",159,6,9,19
"Rice, brown, with tomatoes (and/or tomato based sauce), NS as to fat added in cooking",104,2,2,19
"Rice, brown, with gravy, fat added in cooking",114,3,2,19
"Fig, raw",74,0,1,19
"Rice, brown, with tomatoes (and/or tomato based sauce), fat added in cooking",104,2,2,19
"Rice, brown, with cheese and/or cream based sauce, NS as to fat added in cooking",156,7,5,19
"Rice, brown, with beans and tomatoes",122,4,4,19
"Rice, brown, with gravy, NS as to fat added in cooking",114,3,2,19
"Rice, brown, with cheese and/or cream based sauce, fat added in cooking",156,7,5,19
"Lentils, dry, cooked, made with oil",165,7,8,19
Red beans and rice,180,9,6,19
"Ravioli, NS as to filling, no sauce",186,7,11,19
"Fast foods, biscuit, with egg and bacon",305,21,11,19
"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",103,0,6,19
Macaroni or noodles with cheese and tomato,146,6,4,19
"Macaroni or noodles with cheese, from restaurant",151,6,5,19
Macaroni or noodles with cheese and egg,187,10,6,19
Macaroni or noodles with cheese and frankfurters or hot dogs,211,12,6,19
"Lima beans, dry, cooked, made with animal fat or meat drippings",161,6,7,19
"Lima beans, dry, cooked, made with margarine",144,5,7,19
"Lima beans, dry, cooked, NS as to fat added in cooking",166,7,7,19
"Lima beans, dry, cooked, fat added in cooking, NS as to type of fat",166,7,7,19
"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",105,0,7,19
"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, with salt",103,0,6,19
"Lima beans, dry, cooked, made with oil",166,7,7,19
"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, with salt",105,0,7,19
"Corn, white, cooked, from frozen, fat added in cooking, NS as to type of fat",95,2,3,19
"Corn, white, cooked, from frozen, NS as to fat added in cooking",95,2,3,19
"Corn, white, cooked, from frozen, made with butter",97,3,3,19
"Corn, white, cooked, from frozen, fat not added in cooking",80,0,3,19
"Corn, white, cooked, NS as to form, made with butter",97,3,3,19
"Corn, white, cooked, NS as to form, fat not added in cooking",80,0,3,19
"Corn, white, cooked, NS as to form, made with oil",101,3,3,19
"Corn, white, cooked, NS as to form, made with margarine",92,2,3,19
"Corn, yellow and white, cooked, NS as to form, fat not added in cooking",80,1,3,19
"Corn, yellow and white, cooked, NS as to form, fat added in cooking, NS as to type of fat",96,3,3,19
"Corn, yellow and white, cooked, NS as to form, made with margarine",93,2,3,19
"Corn, yellow and white, cooked, NS as to form, made with butter",98,3,2,19
"Corn, white, cooked, from frozen, made with oil",101,3,3,19
"Corn, white, cooked, from frozen, made with margarine",92,2,3,19
"Corn, yellow and white, cooked, NS as to form, NS as to fat added in cooking",96,3,3,19
"Corn, white, from canned, cream style",74,0,2,19
"Corn, white, cooked, NS as to form, fat added in cooking, NS as to type of fat",95,2,3,19
"Corn, sweet, white, canned, cream style, regular pack",74,0,2,19
"Cheeseburger, with mayonnaise or salad dressing, and tomato and/or catsup, on bun",226,12,11,19
"Corn, sweet, white, canned, vacuum pack, regular pack",79,0,2,19
"Corn, sweet, white, canned, vacuum pack, no salt added",79,0,2,19
Cheesecake with fruit,209,14,4,19
"Corn, cooked, from frozen, NS as to color, made with oil",102,3,2,19
"Corn, raw",86,1,3,19
"Caesar dressing, light",110,4,0,19
"Corn, sweet, yellow, raw",86,1,3,19
"Corn, sweet, yellow, frozen, kernels, cut off cob, boiled, drained, with salt",79,1,3,19
"Corn, white, cooked, NS as to form, NS as to fat added in cooking",95,2,3,19
"Corn, white, NS as to form, cream style",74,0,2,19
"Corn, sweet, yellow, canned, vacuum pack, no salt added",79,0,2,19
"Corn, sweet, white, raw",86,1,3,19
"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",81,1,3,19
"Corn, sweet, yellow, canned, vacuum pack, regular pack",79,0,2,19
"Corn, yellow and white, cooked, NS as to form, made with oil",102,3,2,19
"Chiliburger, on bun",250,12,15,19
"White potato, boiled, without peel, NS as to fat added in cooking",101,2,2,19
Cornmeal dressing with chicken or turkey and vegetables,236,14,8,19
"White potato, boiled, without peel, fat added in cooking",102,2,2,19
"White potato, NFS",104,2,2,19
"Corn, yellow, cooked, from frozen, made with oil",102,3,2,19
"White potato, boiled with peel, peel not eaten, fat added in cooking",103,2,2,19
"White potato, boiled with peel, peel not eaten, NS as to fat added in cooking",103,2,2,19
"Cowpeas, dry, cooked, NS as to fat added in cooking",172,8,7,19
"White potato, from fresh, mashed, made with fat",108,3,2,19
"White potato, home fries, fat not added in cooking",81,0,2,19
"Cowpeas, dry, cooked, fat added in cooking",172,8,7,19
"Beans, lima and corn (succotash), cooked, made with margarine",104,2,4,19
"Tomato products, canned, paste, without salt added (Includes foods for USDA's Food Distribution Program)",82,0,4,19
"Cowpeas (blackeyes), immature seeds, raw",90,0,3,19
"Beans, lima, immature, cooked, NS as to form, NS as to fat added in cooking",117,2,6,19
"Corn, yellow, cooked, from frozen, made with margarine",93,2,2,19
"Corn, yellow and white, cooked, from frozen, made with oil",102,3,3,19
"Corn, yellow and white, cooked, from frozen, made with margarine",93,2,3,19
"Corn, yellow, cooked, NS as to form, fat added in cooking, NS as to type of fat",96,3,2,19
"Corn, yellow, cooked, NS as to form, NS as to fat added in cooking",96,3,2,19
"Corn, yellow and white, cooked, from frozen, fat added in cooking, NS as to type of fat",96,3,3,19
"Corn, yellow and white, cooked, from frozen, NS as to fat added in cooking",96,3,3,19
"Corn, yellow and white, cooked, from frozen, made with butter",98,3,3,19
"Corn, yellow and white, cooked, from frozen, fat not added in cooking",80,1,3,19
"Corn, yellow, cooked, from frozen, fat added in cooking, NS as to type of fat",96,3,2,19
"Corn, yellow, cooked, from frozen, NS as to fat added in cooking",96,3,2,19
"Corn, yellow, cooked, from frozen, made with butter",98,3,2,19
